FID,MAP,REFNAME,PARKNAME,LOCATION,OBSERVER,FIELDDATE,APPROVDATE,MANAGER,CS,PS,PS_HIGH,PS_LOW,CU,CU_ACTUAL,PU,PU_HIGH,PU_LOW,TH_RANK_CS,TH_RANK_PS,PROB_FLAG,TRL_ENTPT,TRL_SIGN,PARKING,PKG_AUTO,PKG_BUS,PKG_HORSE,PKG_HANDIC,PKG_TYPE,PKG_SUBSTR,RESTROOM,RSTRM_TYPE,RANGER_STA,INFO_KIOSK,WAY_EXH,WATER,PHONE,GARBAGE,RECYC_BINS,MUTTMITT,SCEN_OVRLK,PICNIC,CAMP_REG,CAMP_GRP,CAMP_BCK,COMMENTS,COASTALZN,LVMCOG_TH,lat,lng,SMMTC_TH,DOGS,COUNTY,JURISDN
0,60,"Point Dume State Preserve, Admin Rd",Point Dume State Preserve,Cliffside Drive,Jessica/Jill,3/13/2003,mb12/30/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Tertiary,YES,Yes,Yes,Yes,9,0,0,2,pullout,paved,No,NA,No,No,No,No,No,Yes,No,No,Official,No,No,No,No,,In,0,34.00308525,-118.8072057,0,N,LOS ANGELES,Malibu
1,60,Pt Dume St Beach/Pt Dume Tr,Point Dume Nat'l Preserve,Cliffside Dr & Birdview Av,Jessica/Jill,9/15/2004,mb12/30/03 entered by NK  09/10/,CDPR,UP,UP,UP,UP,UN,UN,UN,,,Unauthorized,Unauthorized,NO,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Fire gate, decorative trash cans.  mb-is this really an access point? Yes, nieghborhood access, limited.  No parking or very limited",in,0,34.00328654,-118.8077586,0,,LOS ANGELES,Malibu
2,60,"Pt Dume, Lower Trailhead from Beach",Point Dume State Preserve,End of Parking Area,LJ,9/15/2004,mb12/30/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,UN,HO,UN,,,Tertiary,Tertiary,NO,Yes,Yes,Yes,100,1,0,1,parking lot,paved,Yes,flush,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,"Pop machines.  Lifeguard/first aid.  Pay parking.  No dogs.  (mb:  beach entrance point, not trail)
Can bea added to with additional signage.  Not accessible, trail steep with steps.",In,0,34.00331667,-118.8094981,0,N,LOS ANGELES,Malibu
3,60,Point Dume State Preserve Main Entry,Point Dume State Preserve,Cliffside Drive,MB,9/15/2004,mb12/30/03 entered by NK  09/10/,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Secondary,Secondary,Yes,Yes,Yes,Yes,8,1,0,1,pullout,gravel,No,NA,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,"Mutt mitts.  No dogs allowed in preserve, but are on boardwalk.  Main user entry",In,2,34.00352458,-118.8066015,0,N,LOS ANGELES,Malibu
4,60,Pt Dume St Beach/Pt Dume Tr,Point Dume Nat'l Preserve,Cliffside Dr,Jessica/Jill,3/13/2003,mb12/30/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Delete  This was an entry and has been fenced off.  It now serves as a paved drainage way.,In,0,34.00429073,-118.8058224,0,,LOS ANGELES,Malibu
5,60,Pt Dume St Preserve/Pt Dume Tr,Point Dume Nat'l Preserve,Cliffside Dr,Jessica/Jill,9/15/2004,mb12/30/03 entered by NK  09/10/,CRPD,UP,UP,UP,UP,UN,UN,UN,,,Unauthorized,Unauthorized,YES,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Exisiting old neighborhood entry,In,0,34.00497581,-118.8050871,0,,LOS ANGELES,Malibu
6,98,"Point Dume / Zuma, Westward Beach Rd",Zuma County Beach,Westward Beach by Zuma Lagoon,Jessica/Jill,9/15/2004,mb12/30/03 entered by NK  09/10/,LA Co Beaches/Harbors,OP,OP,OP,OP,HO,HO,MU,,,Secondary,Secondary,No,Yes,Yes,Yes,100,0,0,4,on-street,paved,Yes,flush,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,"CCT TH.  Connection to inland trail network is via residential streets to reach Bonsall & Busch THds.
Next to NPS restoration site, soon to be shuttle stop w/ lots of signage",In,1,34.01378527,-118.819429,0,N,LOS ANGELES,Malibu
7,64,Winding Way Trail,Escondido Canyon,PCH ^ Winding Way,Jessica/Jill,3/13/2003,mb12/30/03 entered by NK  09/10/,MRCA,OP,OP,OP,OP,HE,HE,HE,,,Tertiary,Tertiary,,Yes,No,Yes,10,0,0,0,parking lot,paved,Yes,portable,No,No,No,No,XX,Yes,XX,XX,No,No,No,No,No,Equestrian & hiking.  Usually portable concession during the week.,In,1,34.02610016,-118.7799653,0,Y,LOS ANGELES,Malibu
8,63,Haunted House Trailhead,unnamed,Via Tapia,Melanie,,,Other,OP,OP,OP,OP,UN,,,,,Tertiary,Tertiary,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,mb07/2007 - Malibu Trails Advis Cmtee said this is official trailhead and should be added to LVMCOG map,In,3,34.02990129,-118.7587316,0,Y,LOS ANGELES,Malibu
9,0,Chumash Indian Trail - Javid,Zuma and Trancas Canyons,Javid Property Malibu,MB,,mb07/16/07,private,OP,OP,OP,OP,UN,,,,,Tertiary,Tertiary,Yes,Yes,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,MB 07/16/07 - Added TH as UP because it is used and should be public when Javid OS comes to NPS; 07/29/08 - Changed to OP for TI Map because it is supposed to be public by now & other trail E side of Javid is.,Coastal,3,34.0309672,-118.8390357,0,Y,LOS ANGELES,Malibu
10,61,CST - Bonsall Trailhead,Zuma and Trancas Canyons,Bonsall Drive Terminus,Jim Anderson,3/22/2001,mb01/01/04,NPS,OP,OP,OP,OP,HE,HE,HE,,,Tertiary,Tertiary,,Yes,Yes,Yes,30,0,888,0,parking lot,dirt,Proposed,composting,No,Proposed,No,Yes,No,Yes,Yes,XX,No,No,No,No,No,Gate. Potable water for horses and water fountain. Hitching post in area. Recorded by JZ 1/14/03,In,1,34.03161185,-118.8121302,0,Y,LOS ANGELES,Malibu
11,62,Malibu Lagoon State Beach,Malibu Lagoon State Beach,Malibu Lagoon State Beach,MB,,mb01/01/04,CDPR,OP,OP,OP,OP,HO,HO,HO,,,Secondary,Secondary,,No,No,Yes,30,0,0,1,parking lot,paved,Yes,portable,No,Yes,Yes,Yes,XX,Yes,XX,XX,No,Yes,No,No,No,In-hse review from memory.  Need field ck.  Rated as secondary because most users are coming to beach; not to go hiking.,in,2,34.0339802,-118.6842163,0,N,LOS ANGELES,Malibu
12,62,"Malibu Bluffs, Michael Landon Center",Malibu Bluffs Park,PCH ^ Winter Mesa,Jessica/Jill,3/13/2003,mb09/08/05 entered by NK 09/03/0,Malibu,OP,OP,OP,OP,HO,HO,HO,,,Tertiary,Secondary,,Yes,No,Yes,68,999,0,4,parking lot,paved,Yes,flush,No,No,No,Yes,Yes,Yes,XX,XX,Potential,Yes,No,No,No,"Beach access, no trail access (mb: there IS trail access here).  2 baseball fields, 2 soccer fields, concession.  mb - proposed joint visitor center location elevates site to primary.  Upgraded to secondary because of possible future satellite visitor ce",In,2,34.03419242,-118.7034622,0,Y,LOS ANGELES,Malibu
13,63,Pt Dume/Via Tapia,,Via Tapia,Jessica/Jill,3/7/2003,mb12/30/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,,In,0,34.03341833,-118.7584689,0,,LOS ANGELES,Malibu
14,14,Sara Wan Trailhead,Corral Canyon Park,Malibu Fish Market ^ PCH,MB,6/16/2000,mb01/01/04,MRCA,OP,OP,OP,OP,MU,HO,MU,,,Tertiary,Tertiary,,Yes,No,Yes,10,0,0,1,parking lot,paved,Yes,portable,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,In-hse review (altho I've been to site).  Facilities inventory & parking estimates need field check.,in,1,34.03377683,-118.7347062,0,Y,LOS ANGELES,Malibu
15,62,"PCH,  Adamson House",Malibu Lagoon State Beach,"Pacific Coast Hwy, Adamson House",Jessica/Jill,3/14/2003,mb01/01/04 entered by NK 09/03/0,CDPR,OP,OP,OP,OP,HO,HO,,,,Tertiary,Tertiary,,Yes,Yes,Yes,60,0,0,5,parking lot,paved,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,"mb - need better inventory of facilities.  Consider as access point to California Coastal Trail.  Also, may be connection inland eventually to CST.",In,0,34.03512065,-118.6796507,0,N,LOS ANGELES,Malibu
16,64,DeButts Terrace,,De Butts Terrace north of Winding Way,MB,,mb12/30/03 entered by NK  09/10/,,DL,DL,DL,DL,,,,,,NA,NA,,No,No,No,0,0,0,0,NA,NA,No,NA,No,No,No,No,XX,XX,XX,XX,No,No,No,No,No,Fire road,In,0,34.03426213,-118.781145,0,,LOS ANGELES,Malibu
